measure,australian_period,australian_value,australian_source,independent_period,independent_value,independent_source,difference,difference_pct,verdict,explanation,source_tier,source_url,source_retrieved_at
Foreign-born residents of Australia (stock),Census 2011,6018180,"ABS ABS_ERP_COB_STATE, total population minus Australia-born",2010,5879802,"UN Population Division international migrant stock, via World Bank SM.POP.TOTL",138378,2.4,corroborated,"Two independent counts of the same resident population, 2011 census against the UN's 2010 reference year. A direct enumeration checked against an external estimate built on a different method.",primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_ERP_COB_STATE,1.0.0/all?format=csv | https://api.worldbank.org/v2/country/AUS/indicator/SM.POP.TOTL?format=json&date=1995:2024&per_page=200",2026-08-26T10:59:17.011Z
Foreign-born residents of Australia (stock),Census 2016,6912110,"ABS ABS_ERP_COB_STATE, total population minus Australia-born",2015,6733056,"UN Population Division international migrant stock, via World Bank SM.POP.TOTL",179054,2.7,corroborated,"Two independent counts of the same resident population, 2016 census against the UN's 2015 reference year. A direct enumeration checked against an external estimate built on a different method.",primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_ERP_COB_STATE,1.0.0/all?format=csv | https://api.worldbank.org/v2/country/AUS/indicator/SM.POP.TOTL?format=json&date=1995:2024&per_page=200",2026-08-26T10:59:17.011Z
Foreign-born residents of Australia (stock),Census 2021,7526510,"ABS ABS_ERP_COB_STATE, total population minus Australia-born",2020,7604850,"UN Population Division international migrant stock, via World Bank SM.POP.TOTL",-78340,-1.0,corroborated,"Two independent counts of the same resident population, 2021 census against the UN's 2020 reference year. A direct enumeration checked against an external estimate built on a different method.",primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_ERP_COB_STATE,1.0.0/all?format=csv | https://api.worldbank.org/v2/country/AUS/indicator/SM.POP.TOTL?format=json&date=1995:2024&per_page=200",2026-08-26T10:59:17.011Z
Net overseas migration to Australia (flow),Financial year ending 2015,184030,"ABS ABS_NOM_VISA_FY, arrivals minus departures, all visa groups excluding Total",Calendar year 2015,212350,"UN Population Division net migration, via World Bank SM.POP.NETM",-28320,-13.3,divergent,"Not like for like on period (Australian financial year against UN calendar year) and, more importantly, not like for like on method. ABS measures border crossings directly under the 12/16 month rule. The UN derives net migration residually from population balance and smooths it across multi-year periods, which suppresses short spikes. Where these diverge, ABS is the better instrument for an annual Australian figure.",primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_NOM_VISA_FY,1.0.0/all?startPeriod=2015&format=csv | https://api.worldbank.org/v2/country/AUS/indicator/SM.POP.NETM?format=json&date=1995:2024&per_page=200",2026-08-26T10:59:17.011Z
Net overseas migration to Australia (flow),Financial year ending 2016,206220,"ABS ABS_NOM_VISA_FY, arrivals minus departures, all visa groups excluding Total",Calendar year 2016,254648,"UN Population Division net migration, via World Bank SM.POP.NETM",-48428,-19.0,divergent,"Not like for like on period (Australian financial year against UN calendar year) and, more importantly, not like for like on method. ABS measures border crossings directly under the 12/16 month rule. The UN derives net migration residually from population balance and smooths it across multi-year periods, which suppresses short spikes. Where these diverge, ABS is the better instrument for an annual Australian figure.",primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_NOM_VISA_FY,1.0.0/all?startPeriod=2015&format=csv | https://api.worldbank.org/v2/country/AUS/indicator/SM.POP.NETM?format=json&date=1995:2024&per_page=200",2026-08-26T10:59:17.011Z
Net overseas migration to Australia (flow),Financial year ending 2017,263360,"ABS ABS_NOM_VISA_FY, arrivals minus departures, all visa groups excluding Total",Calendar year 2017,255023,"UN Population Division net migration, via World Bank SM.POP.NETM",8337,3.3,corroborated,"Not like for like on period (Australian financial year against UN calendar year) and, more importantly, not like for like on method. ABS measures border crossings directly under the 12/16 month rule. The UN derives net migration residually from population balance and smooths it across multi-year periods, which suppresses short spikes. Where these diverge, ABS is the better instrument for an annual Australian figure.",primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_NOM_VISA_FY,1.0.0/all?startPeriod=2015&format=csv | https://api.worldbank.org/v2/country/AUS/indicator/SM.POP.NETM?format=json&date=1995:2024&per_page=200",2026-08-26T10:59:17.011Z
Net overseas migration to Australia (flow),Financial year ending 2018,238240,"ABS ABS_NOM_VISA_FY, arrivals minus departures, all visa groups excluding Total",Calendar year 2018,226412,"UN Population Division net migration, via World Bank SM.POP.NETM",11828,5.2,divergent,"Not like for like on period (Australian financial year against UN calendar year) and, more importantly, not like for like on method. ABS measures border crossings directly under the 12/16 month rule. The UN derives net migration residually from population balance and smooths it across multi-year periods, which suppresses short spikes. Where these diverge, ABS is the better instrument for an annual Australian figure.",primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_NOM_VISA_FY,1.0.0/all?startPeriod=2015&format=csv | https://api.worldbank.org/v2/country/AUS/indicator/SM.POP.NETM?format=json&date=1995:2024&per_page=200",2026-08-26T10:59:17.011Z
Net overseas migration to Australia (flow),Financial year ending 2019,241310,"ABS ABS_NOM_VISA_FY, arrivals minus departures, all visa groups excluding Total",Calendar year 2019,207142,"UN Population Division net migration, via World Bank SM.POP.NETM",34168,16.5,divergent,"Not like for like on period (Australian financial year against UN calendar year) and, more importantly, not like for like on method. ABS measures border crossings directly under the 12/16 month rule. The UN derives net migration residually from population balance and smooths it across multi-year periods, which suppresses short spikes. Where these diverge, ABS is the better instrument for an annual Australian figure.",primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_NOM_VISA_FY,1.0.0/all?startPeriod=2015&format=csv | https://api.worldbank.org/v2/country/AUS/indicator/SM.POP.NETM?format=json&date=1995:2024&per_page=200",2026-08-26T10:59:17.011Z
Net overseas migration to Australia (flow),Financial year ending 2020,192670,"ABS ABS_NOM_VISA_FY, arrivals minus departures, all visa groups excluding Total",Calendar year 2020,44447,"UN Population Division net migration, via World Bank SM.POP.NETM",148223,333.5,divergent,"Not like for like on period (Australian financial year against UN calendar year) and, more importantly, not like for like on method. ABS measures border crossings directly under the 12/16 month rule. The UN derives net migration residually from population balance and smooths it across multi-year periods, which suppresses short spikes. Where these diverge, ABS is the better instrument for an annual Australian figure.",primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_NOM_VISA_FY,1.0.0/all?startPeriod=2015&format=csv | https://api.worldbank.org/v2/country/AUS/indicator/SM.POP.NETM?format=json&date=1995:2024&per_page=200",2026-08-26T10:59:17.011Z
Net overseas migration to Australia (flow),Financial year ending 2021,-84930,"ABS ABS_NOM_VISA_FY, arrivals minus departures, all visa groups excluding Total",Calendar year 2021,116768,"UN Population Division net migration, via World Bank SM.POP.NETM",-201698,-172.7,divergent,"Not like for like on period (Australian financial year against UN calendar year) and, more importantly, not like for like on method. ABS measures border crossings directly under the 12/16 month rule. The UN derives net migration residually from population balance and smooths it across multi-year periods, which suppresses short spikes. Where these diverge, ABS is the better instrument for an annual Australian figure.",primary,"https://data.api.abs.gov.au/rest/data/ABS,ABS_NOM_VISA_FY,1.0.0/all?startPeriod=2015&format=csv | https://api.worldbank.org/v2/country/AUS/indicator/SM.POP.NETM?format=json&date=1995:2024&per_page=200",2026-08-26T10:59:17.011Z
