period,data_item,data_item_code,measure,measure_code,seasonal_adjustment,value,unit,source_tier,source_url,source_retrieved_at
2000-Q1,Gross domestic product,GPM,Chain volume measures,M1,Seasonally Adjusted,351882,Australian Dollars,primary,"https://data.api.abs.gov.au/rest/data/ABS,ANA_AGG,1.0.0/all?startPeriod=2000&format=csv",2026-08-25T13:07:06.254Z
2000-Q1,Gross domestic product,GPM,Chain volume measures,M1,Original,342406,Australian Dollars,primary,"https://data.api.abs.gov.au/rest/data/ABS,ANA_AGG,1.0.0/all?startPeriod=2000&format=csv",2026-08-25T13:07:06.254Z
2000-Q1,Gross domestic product,GPM,Chain volume measures,M1,Trend,352788,Australian Dollars,primary,"https://data.api.abs.gov.au/rest/data/ABS,ANA_AGG,1.0.0/all?startPeriod=2000&format=csv",2026-08-25T13:07:06.254Z
2000-Q1,Gross domestic product,GPM,Chain volume measures - Percentage changes,M2,Seasonally Adjusted,0.4,Percent,primary,"https://data.api.abs.gov.au/rest/data/ABS,ANA_AGG,1.0.0/all?startPeriod=2000&format=csv",2026-08-25T13:07:06.254Z
2000-Q1,Gross domestic product,GPM,Chain volume measures - Percentage changes,M2,Trend,1,Percent,primary,"https://data.api.abs.gov.au/rest/data/ABS,ANA_AGG,1.0.0/all?startPeriod=2000&format=csv",2026-08-25T13:07:06.254Z
2000-Q1,Gross domestic product,GPM,Chain volume measures - Percentage changes,M2,Original,-5.8,Percent,primary,"https://data.api.abs.gov.au/rest/data/ABS,ANA_AGG,1.0.0/all?startPeriod=2000&format=csv",2026-08-25T13:07:06.254Z
2000-Q1,GDP per capita,GPM_PCA,Chain volume measures,M1,Trend,18592,Australian Dollars,primary,"https://data.api.abs.gov.au/rest/data/ABS,ANA_AGG,1.0.0/all?startPeriod=2000&format=csv",2026-08-25T13:07:06.254Z
2000-Q1,GDP per capita,GPM_PCA,Chain volume measures,M1,Seasonally Adjusted,18544,Australian Dollars,primary,"https://data.api.abs.gov.au/rest/data/ABS,ANA_AGG,1.0.0/all?startPeriod=2000&format=csv",2026-08-25T13:07:06.254Z
2000-Q1,GDP per capita,GPM_PCA,Chain volume measures,M1,Original,18036,Australian Dollars,primary,"https://data.api.abs.gov.au/rest/data/ABS,ANA_AGG,1.0.0/all?startPeriod=2000&format=csv",2026-08-25T13:07:06.254Z
2000-Q1,GDP per capita,GPM_PCA,Chain volume measures - Percentage changes,M2,Seasonally Adjusted,0.1,Percent,primary,"https://data.api.abs.gov.au/rest/data/ABS,ANA_AGG,1.0.0/all?startPeriod=2000&format=csv",2026-08-25T13:07:06.254Z
2000-Q1,GDP per capita,GPM_PCA,Chain volume measures - Percentage changes,M2,Original,-6.1,Percent,primary,"https://data.api.abs.gov.au/rest/data/ABS,ANA_AGG,1.0.0/all?startPeriod=2000&format=csv",2026-08-25T13:07:06.254Z
2000-Q1,GDP per capita,GPM_PCA,Chain volume measures - Percentage changes,M2,Trend,0.7,Percent,primary,"https://data.api.abs.gov.au/rest/data/ABS,ANA_AGG,1.0.0/all?startPeriod=2000&format=csv",2026-08-25T13:07:06.254Z
2000-Q2,Gross domestic product,GPM,Chain volume measures,M1,Seasonally Adjusted,355304,Australian Dollars,primary,"https://data.api.abs.gov.au/rest/data/ABS,ANA_AGG,1.0.0/all?startPeriod=2000&format=csv",2026-08-25T13:07:06.254Z
2000-Q2,Gross domestic product,GPM,Chain volume measures,M1,Original,352578,Australian Dollars,primary,"https://data.api.abs.gov.au/rest/data/ABS,ANA_AGG,1.0.0/all?startPeriod=2000&format=csv",2026-08-25T13:07:06.254Z
2000-Q2,Gross domestic product,GPM,Chain volume measures,M1,Trend,354740,Australian Dollars,primary,"https://data.api.abs.gov.au/rest/data/ABS,ANA_AGG,1.0.0/all?startPeriod=2000&format=csv",2026-08-25T13:07:06.254Z
2000-Q2,Gross domestic product,GPM,Chain volume measures - Percentage changes,M2,Seasonally Adjusted,1,Percent,primary,"https://data.api.abs.gov.au/rest/data/ABS,ANA_AGG,1.0.0/all?startPeriod=2000&format=csv",2026-08-25T13:07:06.254Z
2000-Q2,Gross domestic product,GPM,Chain volume measures - Percentage changes,M2,Trend,0.6,Percent,primary,"https://data.api.abs.gov.au/rest/data/ABS,ANA_AGG,1.0.0/all?startPeriod=2000&format=csv",2026-08-25T13:07:06.254Z
2000-Q2,Gross domestic product,GPM,Chain volume measures - Percentage changes,M2,Original,3,Percent,primary,"https://data.api.abs.gov.au/rest/data/ABS,ANA_AGG,1.0.0/all?startPeriod=2000&format=csv",2026-08-25T13:07:06.254Z
2000-Q2,GDP per capita,GPM_PCA,Chain volume measures,M1,Trend,18642,Australian Dollars,primary,"https://data.api.abs.gov.au/rest/data/ABS,ANA_AGG,1.0.0/all?startPeriod=2000&format=csv",2026-08-25T13:07:06.254Z
2000-Q2,GDP per capita,GPM_PCA,Chain volume measures,M1,Seasonally Adjusted,18672,Australian Dollars,primary,"https://data.api.abs.gov.au/rest/data/ABS,ANA_AGG,1.0.0/all?startPeriod=2000&format=csv",2026-08-25T13:07:06.254Z
2000-Q2,GDP per capita,GPM_PCA,Chain volume measures,M1,Original,18531,Australian Dollars,primary,"https://data.api.abs.gov.au/rest/data/ABS,ANA_AGG,1.0.0/all?startPeriod=2000&format=csv",2026-08-25T13:07:06.254Z
2000-Q2,GDP per capita,GPM_PCA,Chain volume measures - Percentage changes,M2,Seasonally Adjusted,0.7,Percent,primary,"https://data.api.abs.gov.au/rest/data/ABS,ANA_AGG,1.0.0/all?startPeriod=2000&format=csv",2026-08-25T13:07:06.254Z
2000-Q2,GDP per capita,GPM_PCA,Chain volume measures - Percentage changes,M2,Original,2.7,Percent,primary,"https://data.api.abs.gov.au/rest/data/ABS,ANA_AGG,1.0.0/all?startPeriod=2000&format=csv",2026-08-25T13:07:06.254Z
2000-Q2,GDP per capita,GPM_PCA,Chain volume measures - Percentage changes,M2,Trend,0.3,Percent,primary,"https://data.api.abs.gov.au/rest/data/ABS,ANA_AGG,1.0.0/all?startPeriod=2000&format=csv",2026-08-25T13:07:06.254Z
2000-Q3,Gross domestic product,GPM,Chain volume measures,M1,Seasonally Adjusted,356301,Australian Dollars,primary,"https://data.api.abs.gov.au/rest/data/ABS,ANA_AGG,1.0.0/all?startPeriod=2000&format=csv",2026-08-25T13:07:06.254Z
2000-Q3,Gross domestic product,GPM,Chain volume measures,M1,Original,355407,Australian Dollars,primary,"https://data.api.abs.gov.au/rest/data/ABS,ANA_AGG,1.0.0/all?startPeriod=2000&format=csv",2026-08-25T13:07:06.254Z
2000-Q3,Gross domestic product,GPM,Chain volume measures,M1,Trend,355492,Australian Dollars,primary,"https://data.api.abs.gov.au/rest/data/ABS,ANA_AGG,1.0.0/all?startPeriod=2000&format=csv",2026-08-25T13:07:06.254Z
2000-Q3,Gross domestic product,GPM,Chain volume measures - Percentage changes,M2,Seasonally Adjusted,0.3,Percent,primary,"https://data.api.abs.gov.au/rest/data/ABS,ANA_AGG,1.0.0/all?startPeriod=2000&format=csv",2026-08-25T13:07:06.254Z
2000-Q3,Gross domestic product,GPM,Chain volume measures - Percentage changes,M2,Trend,0.2,Percent,primary,"https://data.api.abs.gov.au/rest/data/ABS,ANA_AGG,1.0.0/all?startPeriod=2000&format=csv",2026-08-25T13:07:06.254Z
2000-Q3,Gross domestic product,GPM,Chain volume measures - Percentage changes,M2,Original,0.8,Percent,primary,"https://data.api.abs.gov.au/rest/data/ABS,ANA_AGG,1.0.0/all?startPeriod=2000&format=csv",2026-08-25T13:07:06.254Z
2000-Q3,GDP per capita,GPM_PCA,Chain volume measures,M1,Trend,18627,Australian Dollars,primary,"https://data.api.abs.gov.au/rest/data/ABS,ANA_AGG,1.0.0/all?startPeriod=2000&format=csv",2026-08-25T13:07:06.254Z
2000-Q3,GDP per capita,GPM_PCA,Chain volume measures,M1,Seasonally Adjusted,18668,Australian Dollars,primary,"https://data.api.abs.gov.au/rest/data/ABS,ANA_AGG,1.0.0/all?startPeriod=2000&format=csv",2026-08-25T13:07:06.254Z
2000-Q3,GDP per capita,GPM_PCA,Chain volume measures,M1,Original,18624,Australian Dollars,primary,"https://data.api.abs.gov.au/rest/data/ABS,ANA_AGG,1.0.0/all?startPeriod=2000&format=csv",2026-08-25T13:07:06.254Z
2000-Q3,GDP per capita,GPM_PCA,Chain volume measures - Percentage changes,M2,Seasonally Adjusted,0,Percent,primary,"https://data.api.abs.gov.au/rest/data/ABS,ANA_AGG,1.0.0/all?startPeriod=2000&format=csv",2026-08-25T13:07:06.254Z
2000-Q3,GDP per capita,GPM_PCA,Chain volume measures - Percentage changes,M2,Original,0.5,Percent,primary,"https://data.api.abs.gov.au/rest/data/ABS,ANA_AGG,1.0.0/all?startPeriod=2000&format=csv",2026-08-25T13:07:06.254Z
2000-Q3,GDP per capita,GPM_PCA,Chain volume measures - Percentage changes,M2,Trend,-0.1,Percent,primary,"https://data.api.abs.gov.au/rest/data/ABS,ANA_AGG,1.0.0/all?startPeriod=2000&format=csv",2026-08-25T13:07:06.254Z
2000-Q4,Gross domestic product,GPM,Chain volume measures,M1,Seasonally Adjusted,354898,Australian Dollars,primary,"https://data.api.abs.gov.au/rest/data/ABS,ANA_AGG,1.0.0/all?startPeriod=2000&format=csv",2026-08-25T13:07:06.254Z
2000-Q4,Gross domestic product,GPM,Chain volume measures,M1,Original,368852,Australian Dollars,primary,"https://data.api.abs.gov.au/rest/data/ABS,ANA_AGG,1.0.0/all?startPeriod=2000&format=csv",2026-08-25T13:07:06.254Z
2000-Q4,Gross domestic product,GPM,Chain volume measures,M1,Trend,356252,Australian Dollars,primary,"https://data.api.abs.gov.au/rest/data/ABS,ANA_AGG,1.0.0/all?startPeriod=2000&format=csv",2026-08-25T13:07:06.254Z
2000-Q4,Gross domestic product,GPM,Chain volume measures - Percentage changes,M2,Seasonally Adjusted,-0.4,Percent,primary,"https://data.api.abs.gov.au/rest/data/ABS,ANA_AGG,1.0.0/all?startPeriod=2000&format=csv",2026-08-25T13:07:06.254Z
2000-Q4,Gross domestic product,GPM,Chain volume measures - Percentage changes,M2,Trend,0.2,Percent,primary,"https://data.api.abs.gov.au/rest/data/ABS,ANA_AGG,1.0.0/all?startPeriod=2000&format=csv",2026-08-25T13:07:06.254Z
2000-Q4,Gross domestic product,GPM,Chain volume measures - Percentage changes,M2,Original,3.8,Percent,primary,"https://data.api.abs.gov.au/rest/data/ABS,ANA_AGG,1.0.0/all?startPeriod=2000&format=csv",2026-08-25T13:07:06.254Z
2000-Q4,GDP per capita,GPM_PCA,Chain volume measures,M1,Trend,18607,Australian Dollars,primary,"https://data.api.abs.gov.au/rest/data/ABS,ANA_AGG,1.0.0/all?startPeriod=2000&format=csv",2026-08-25T13:07:06.254Z
2000-Q4,GDP per capita,GPM_PCA,Chain volume measures,M1,Seasonally Adjusted,18540,Australian Dollars,primary,"https://data.api.abs.gov.au/rest/data/ABS,ANA_AGG,1.0.0/all?startPeriod=2000&format=csv",2026-08-25T13:07:06.254Z
2000-Q4,GDP per capita,GPM_PCA,Chain volume measures,M1,Original,19273,Australian Dollars,primary,"https://data.api.abs.gov.au/rest/data/ABS,ANA_AGG,1.0.0/all?startPeriod=2000&format=csv",2026-08-25T13:07:06.254Z
2000-Q4,GDP per capita,GPM_PCA,Chain volume measures - Percentage changes,M2,Seasonally Adjusted,-0.7,Percent,primary,"https://data.api.abs.gov.au/rest/data/ABS,ANA_AGG,1.0.0/all?startPeriod=2000&format=csv",2026-08-25T13:07:06.254Z
2000-Q4,GDP per capita,GPM_PCA,Chain volume measures - Percentage changes,M2,Original,3.5,Percent,primary,"https://data.api.abs.gov.au/rest/data/ABS,ANA_AGG,1.0.0/all?startPeriod=2000&format=csv",2026-08-25T13:07:06.254Z
2000-Q4,GDP per capita,GPM_PCA,Chain volume measures - Percentage changes,M2,Trend,-0.1,Percent,primary,"https://data.api.abs.gov.au/rest/data/ABS,ANA_AGG,1.0.0/all?startPeriod=2000&format=csv",2026-08-25T13:07:06.254Z
2001-Q1,Gross domestic product,GPM,Chain volume measures,M1,Seasonally Adjusted,358245,Australian Dollars,primary,"https://data.api.abs.gov.au/rest/data/ABS,ANA_AGG,1.0.0/all?startPeriod=2000&format=csv",2026-08-25T13:07:06.254Z
2001-Q1,Gross domestic product,GPM,Chain volume measures,M1,Original,348782,Australian Dollars,primary,"https://data.api.abs.gov.au/rest/data/ABS,ANA_AGG,1.0.0/all?startPeriod=2000&format=csv",2026-08-25T13:07:06.254Z
2001-Q1,Gross domestic product,GPM,Chain volume measures,M1,Trend,357987,Australian Dollars,primary,"https://data.api.abs.gov.au/rest/data/ABS,ANA_AGG,1.0.0/all?startPeriod=2000&format=csv",2026-08-25T13:07:06.254Z
