period,series,region,index_value,indexed_to_2012_base,raw_value,unit,source_tier,source_url,source_retrieved_at
2012-Q1,"Residential property price index (weighted average, 8 capital cities)",Australia (8 capitals),100.8,100,,Index,primary,"https://data.api.abs.gov.au/rest/data/ABS,RPPI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T13:36:12.690Z
2012-Q1,"Residential property price index (weighted average, 8 capital cities)",Australia (8 capitals),100,99.2,,Index,primary,"https://data.api.abs.gov.au/rest/data/ABS,RPPI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T13:36:12.690Z
2012-Q1,"Residential property price index (weighted average, 8 capital cities)",Australia (8 capitals),99.7,98.9,,Index,primary,"https://data.api.abs.gov.au/rest/data/ABS,RPPI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T13:36:12.690Z
2012-Q2,"Residential property price index (weighted average, 8 capital cities)",Australia (8 capitals),100.5,99.7,,Index,primary,"https://data.api.abs.gov.au/rest/data/ABS,RPPI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T13:36:12.690Z
2012-Q2,"Residential property price index (weighted average, 8 capital cities)",Australia (8 capitals),100.4,99.6,,Index,primary,"https://data.api.abs.gov.au/rest/data/ABS,RPPI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T13:36:12.690Z
2012-Q2,"Residential property price index (weighted average, 8 capital cities)",Australia (8 capitals),100.3,99.5,,Index,primary,"https://data.api.abs.gov.au/rest/data/ABS,RPPI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T13:36:12.690Z
2012-Q3,"Residential property price index (weighted average, 8 capital cities)",Australia (8 capitals),100.5,99.7,,Index,primary,"https://data.api.abs.gov.au/rest/data/ABS,RPPI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T13:36:12.690Z
2012-Q3,"Residential property price index (weighted average, 8 capital cities)",Australia (8 capitals),100.2,99.4,,Index,primary,"https://data.api.abs.gov.au/rest/data/ABS,RPPI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T13:36:12.690Z
2012-Q3,"Residential property price index (weighted average, 8 capital cities)",Australia (8 capitals),100.1,99.3,,Index,primary,"https://data.api.abs.gov.au/rest/data/ABS,RPPI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T13:36:12.690Z
2012-Q4,"Residential property price index (weighted average, 8 capital cities)",Australia (8 capitals),102.7,101.9,,Index,primary,"https://data.api.abs.gov.au/rest/data/ABS,RPPI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T13:36:12.690Z
