year,country_iso3,country_name,country_role,indicator,indicator_code,value,measure_note,source_tier,source_url,source_retrieved_at
1995,AFG,Afghanistan,origin,migrant_stock,SM.POP.TOTL,71522,"International migrant stock (foreign-born residents), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/AFG/indicator/SM.POP.TOTL?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2000,AFG,Afghanistan,origin,migrant_stock,SM.POP.TOTL,75917,"International migrant stock (foreign-born residents), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/AFG/indicator/SM.POP.TOTL?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2005,AFG,Afghanistan,origin,migrant_stock,SM.POP.TOTL,87314,"International migrant stock (foreign-born residents), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/AFG/indicator/SM.POP.TOTL?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2010,AFG,Afghanistan,origin,migrant_stock,SM.POP.TOTL,102276,"International migrant stock (foreign-born residents), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/AFG/indicator/SM.POP.TOTL?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2015,AFG,Afghanistan,origin,migrant_stock,SM.POP.TOTL,339432,"International migrant stock (foreign-born residents), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/AFG/indicator/SM.POP.TOTL?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2020,AFG,Afghanistan,origin,migrant_stock,SM.POP.TOTL,144098,"International migrant stock (foreign-born residents), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/AFG/indicator/SM.POP.TOTL?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2024,AFG,Afghanistan,origin,migrant_stock,SM.POP.TOTL,98110,"International migrant stock (foreign-born residents), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/AFG/indicator/SM.POP.TOTL?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
1995,AUS,Australia,reference,migrant_stock,SM.POP.TOTL,4215646,"International migrant stock (foreign-born residents), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/AUS/indicator/SM.POP.TOTL?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2000,AUS,Australia,reference,migrant_stock,SM.POP.TOTL,4389847,"International migrant stock (foreign-born residents), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/AUS/indicator/SM.POP.TOTL?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2005,AUS,Australia,reference,migrant_stock,SM.POP.TOTL,4880921,"International migrant stock (foreign-born residents), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/AUS/indicator/SM.POP.TOTL?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2010,AUS,Australia,reference,migrant_stock,SM.POP.TOTL,5879802,"International migrant stock (foreign-born residents), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/AUS/indicator/SM.POP.TOTL?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2015,AUS,Australia,reference,migrant_stock,SM.POP.TOTL,6733056,"International migrant stock (foreign-born residents), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/AUS/indicator/SM.POP.TOTL?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2020,AUS,Australia,reference,migrant_stock,SM.POP.TOTL,7604850,"International migrant stock (foreign-born residents), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/AUS/indicator/SM.POP.TOTL?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2024,AUS,Australia,reference,migrant_stock,SM.POP.TOTL,8111404,"International migrant stock (foreign-born residents), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/AUS/indicator/SM.POP.TOTL?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
1995,BGD,Bangladesh,origin,migrant_stock,SM.POP.TOTL,934735,"International migrant stock (foreign-born residents), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/BGD/indicator/SM.POP.TOTL?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2000,BGD,Bangladesh,origin,migrant_stock,SM.POP.TOTL,987853,"International migrant stock (foreign-born residents), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/BGD/indicator/SM.POP.TOTL?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2005,BGD,Bangladesh,origin,migrant_stock,SM.POP.TOTL,1062270,"International migrant stock (foreign-born residents), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/BGD/indicator/SM.POP.TOTL?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2010,BGD,Bangladesh,origin,migrant_stock,SM.POP.TOTL,1345546,"International migrant stock (foreign-born residents), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/BGD/indicator/SM.POP.TOTL?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2015,BGD,Bangladesh,origin,migrant_stock,SM.POP.TOTL,1422179,"International migrant stock (foreign-born residents), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/BGD/indicator/SM.POP.TOTL?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2020,BGD,Bangladesh,origin,migrant_stock,SM.POP.TOTL,2115408,"International migrant stock (foreign-born residents), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/BGD/indicator/SM.POP.TOTL?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2024,BGD,Bangladesh,origin,migrant_stock,SM.POP.TOTL,2906338,"International migrant stock (foreign-born residents), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/BGD/indicator/SM.POP.TOTL?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
1995,CAN,Canada,reference,migrant_stock,SM.POP.TOTL,4853738,"International migrant stock (foreign-born residents), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/CAN/indicator/SM.POP.TOTL?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2000,CAN,Canada,reference,migrant_stock,SM.POP.TOTL,5525404,"International migrant stock (foreign-born residents), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/CAN/indicator/SM.POP.TOTL?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2005,CAN,Canada,reference,migrant_stock,SM.POP.TOTL,6086976,"International migrant stock (foreign-born residents), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/CAN/indicator/SM.POP.TOTL?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2010,CAN,Canada,reference,migrant_stock,SM.POP.TOTL,7035001,"International migrant stock (foreign-born residents), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/CAN/indicator/SM.POP.TOTL?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2015,CAN,Canada,reference,migrant_stock,SM.POP.TOTL,8049874,"International migrant stock (foreign-born residents), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/CAN/indicator/SM.POP.TOTL?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2020,CAN,Canada,reference,migrant_stock,SM.POP.TOTL,8332892,"International migrant stock (foreign-born residents), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/CAN/indicator/SM.POP.TOTL?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2024,CAN,Canada,reference,migrant_stock,SM.POP.TOTL,8805839,"International migrant stock (foreign-born residents), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/CAN/indicator/SM.POP.TOTL?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
1995,CHN,China,origin,migrant_stock,SM.POP.TOTL,610608,"International migrant stock (foreign-born residents), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/CHN/indicator/SM.POP.TOTL?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2000,CHN,China,origin,migrant_stock,SM.POP.TOTL,720915,"International migrant stock (foreign-born residents), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/CHN/indicator/SM.POP.TOTL?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2005,CHN,China,origin,migrant_stock,SM.POP.TOTL,853360,"International migrant stock (foreign-born residents), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/CHN/indicator/SM.POP.TOTL?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2010,CHN,China,origin,migrant_stock,SM.POP.TOTL,1010008,"International migrant stock (foreign-born residents), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/CHN/indicator/SM.POP.TOTL?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2015,CHN,China,origin,migrant_stock,SM.POP.TOTL,1196007,"International migrant stock (foreign-born residents), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/CHN/indicator/SM.POP.TOTL?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2020,CHN,China,origin,migrant_stock,SM.POP.TOTL,1415116,"International migrant stock (foreign-born residents), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/CHN/indicator/SM.POP.TOTL?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2024,CHN,China,origin,migrant_stock,SM.POP.TOTL,1638718,"International migrant stock (foreign-born residents), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/CHN/indicator/SM.POP.TOTL?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
1995,EGY,"Egypt, Arab Rep.",origin,migrant_stock,SM.POP.TOTL,160802,"International migrant stock (foreign-born residents), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/EGY/indicator/SM.POP.TOTL?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2000,EGY,"Egypt, Arab Rep.",origin,migrant_stock,SM.POP.TOTL,179364,"International migrant stock (foreign-born residents), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/EGY/indicator/SM.POP.TOTL?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2005,EGY,"Egypt, Arab Rep.",origin,migrant_stock,SM.POP.TOTL,288944,"International migrant stock (foreign-born residents), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/EGY/indicator/SM.POP.TOTL?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2010,EGY,"Egypt, Arab Rep.",origin,migrant_stock,SM.POP.TOTL,323177,"International migrant stock (foreign-born residents), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/EGY/indicator/SM.POP.TOTL?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2015,EGY,"Egypt, Arab Rep.",origin,migrant_stock,SM.POP.TOTL,499292,"International migrant stock (foreign-born residents), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/EGY/indicator/SM.POP.TOTL?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2020,EGY,"Egypt, Arab Rep.",origin,migrant_stock,SM.POP.TOTL,602472,"International migrant stock (foreign-born residents), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/EGY/indicator/SM.POP.TOTL?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2024,EGY,"Egypt, Arab Rep.",origin,migrant_stock,SM.POP.TOTL,1139820,"International migrant stock (foreign-born residents), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/EGY/indicator/SM.POP.TOTL?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
1995,ETH,Ethiopia,origin,migrant_stock,SM.POP.TOTL,478712,"International migrant stock (foreign-born residents), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/ETH/indicator/SM.POP.TOTL?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2000,ETH,Ethiopia,origin,migrant_stock,SM.POP.TOTL,311441,"International migrant stock (foreign-born residents), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/ETH/indicator/SM.POP.TOTL?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2005,ETH,Ethiopia,origin,migrant_stock,SM.POP.TOTL,170773,"International migrant stock (foreign-born residents), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/ETH/indicator/SM.POP.TOTL?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2010,ETH,Ethiopia,origin,migrant_stock,SM.POP.TOTL,227078,"International migrant stock (foreign-born residents), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/ETH/indicator/SM.POP.TOTL?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2015,ETH,Ethiopia,origin,migrant_stock,SM.POP.TOTL,797374,"International migrant stock (foreign-born residents), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/ETH/indicator/SM.POP.TOTL?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2020,ETH,Ethiopia,origin,migrant_stock,SM.POP.TOTL,875170,"International migrant stock (foreign-born residents), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/ETH/indicator/SM.POP.TOTL?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
2024,ETH,Ethiopia,origin,migrant_stock,SM.POP.TOTL,1168455,"International migrant stock (foreign-born residents), UN Population Division estimate",primary,https://api.worldbank.org/v2/country/ETH/indicator/SM.POP.TOTL?format=json&date=1995:2024&per_page=200,2026-08-26T10:40:56.796Z
