rank,destination_country,emigration_clearances,period,origin_country,source_agency,source_tier,source_url,source_retrieved_at
1,Saudi Arabia,563813,2021-01-01 to 2024-11-19,India,"Ministry of External Affairs, via the data.gov.in open data API",primary,https://api.data.gov.in/resource/bdf138e1-72c7-4dc8-a9cf-cfe9eb410bd1?format=json,2026-08-25T14:26:09.322238+00:00
2,United Arab Emirates,212018,2021-01-01 to 2024-11-19,India,"Ministry of External Affairs, via the data.gov.in open data API",primary,https://api.data.gov.in/resource/bdf138e1-72c7-4dc8-a9cf-cfe9eb410bd1?format=json,2026-08-25T14:26:09.322238+00:00
3,Kuwait,164017,2021-01-01 to 2024-11-19,India,"Ministry of External Affairs, via the data.gov.in open data API",primary,https://api.data.gov.in/resource/bdf138e1-72c7-4dc8-a9cf-cfe9eb410bd1?format=json,2026-08-25T14:26:09.322238+00:00
4,Qatar,132887,2021-01-01 to 2024-11-19,India,"Ministry of External Affairs, via the data.gov.in open data API",primary,https://api.data.gov.in/resource/bdf138e1-72c7-4dc8-a9cf-cfe9eb410bd1?format=json,2026-08-25T14:26:09.322238+00:00
5,Oman,94907,2021-01-01 to 2024-11-19,India,"Ministry of External Affairs, via the data.gov.in open data API",primary,https://api.data.gov.in/resource/bdf138e1-72c7-4dc8-a9cf-cfe9eb410bd1?format=json,2026-08-25T14:26:09.322238+00:00
6,Malaysia,33482,2021-01-01 to 2024-11-19,India,"Ministry of External Affairs, via the data.gov.in open data API",primary,https://api.data.gov.in/resource/bdf138e1-72c7-4dc8-a9cf-cfe9eb410bd1?format=json,2026-08-25T14:26:09.322238+00:00
7,Bahrain,31836,2021-01-01 to 2024-11-19,India,"Ministry of External Affairs, via the data.gov.in open data API",primary,https://api.data.gov.in/resource/bdf138e1-72c7-4dc8-a9cf-cfe9eb410bd1?format=json,2026-08-25T14:26:09.322238+00:00
8,Jordan,8982,2021-01-01 to 2024-11-19,India,"Ministry of External Affairs, via the data.gov.in open data API",primary,https://api.data.gov.in/resource/bdf138e1-72c7-4dc8-a9cf-cfe9eb410bd1?format=json,2026-08-25T14:26:09.322238+00:00
9,Iraq,6370,2021-01-01 to 2024-11-19,India,"Ministry of External Affairs, via the data.gov.in open data API",primary,https://api.data.gov.in/resource/bdf138e1-72c7-4dc8-a9cf-cfe9eb410bd1?format=json,2026-08-25T14:26:09.322238+00:00
10,Lebanon,666,2021-01-01 to 2024-11-19,India,"Ministry of External Affairs, via the data.gov.in open data API",primary,https://api.data.gov.in/resource/bdf138e1-72c7-4dc8-a9cf-cfe9eb410bd1?format=json,2026-08-25T14:26:09.322238+00:00
11,Thailand,18,2021-01-01 to 2024-11-19,India,"Ministry of External Affairs, via the data.gov.in open data API",primary,https://api.data.gov.in/resource/bdf138e1-72c7-4dc8-a9cf-cfe9eb410bd1?format=json,2026-08-25T14:26:09.322238+00:00
12,Indonesia,5,2021-01-01 to 2024-11-19,India,"Ministry of External Affairs, via the data.gov.in open data API",primary,https://api.data.gov.in/resource/bdf138e1-72c7-4dc8-a9cf-cfe9eb410bd1?format=json,2026-08-25T14:26:09.322238+00:00
13,South Sudan,2,2021-01-01 to 2024-11-19,India,"Ministry of External Affairs, via the data.gov.in open data API",primary,https://api.data.gov.in/resource/bdf138e1-72c7-4dc8-a9cf-cfe9eb410bd1?format=json,2026-08-25T14:26:09.322238+00:00
14,Sudan,2,2021-01-01 to 2024-11-19,India,"Ministry of External Affairs, via the data.gov.in open data API",primary,https://api.data.gov.in/resource/bdf138e1-72c7-4dc8-a9cf-cfe9eb410bd1?format=json,2026-08-25T14:26:09.322238+00:00
Total,Total,1249005,2021-01-01 to 2024-11-19,India,"Ministry of External Affairs, via the data.gov.in open data API",primary,https://api.data.gov.in/resource/bdf138e1-72c7-4dc8-a9cf-cfe9eb410bd1?format=json,2026-08-25T14:26:09.322238+00:00
