period,household_type,household_type_code,index_group,index_number,source_tier,source_url,source_retrieved_at
2012-Q1,Employee households,P1,All groups,70.82,primary,"https://data.api.abs.gov.au/rest/data/ABS,LCI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T14:19:41.340Z
2012-Q1,Age pensioner households,P2,All groups,69.49,primary,"https://data.api.abs.gov.au/rest/data/ABS,LCI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T14:19:41.340Z
2012-Q1,Other government transfer recipient households,P3,All groups,68.18,primary,"https://data.api.abs.gov.au/rest/data/ABS,LCI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T14:19:41.340Z
2012-Q1,Self-funded retiree households,P4,All groups,70.21,primary,"https://data.api.abs.gov.au/rest/data/ABS,LCI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T14:19:41.340Z
2012-Q1,Pensioner and beneficiary households,PBLCI,All groups,68.87,primary,"https://data.api.abs.gov.au/rest/data/ABS,LCI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T14:19:41.340Z
2012-Q2,Employee households,P1,All groups,71.14,primary,"https://data.api.abs.gov.au/rest/data/ABS,LCI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T14:19:41.340Z
2012-Q2,Age pensioner households,P2,All groups,69.85,primary,"https://data.api.abs.gov.au/rest/data/ABS,LCI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T14:19:41.340Z
2012-Q2,Other government transfer recipient households,P3,All groups,68.54,primary,"https://data.api.abs.gov.au/rest/data/ABS,LCI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T14:19:41.340Z
2012-Q2,Self-funded retiree households,P4,All groups,70.48,primary,"https://data.api.abs.gov.au/rest/data/ABS,LCI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T14:19:41.340Z
2012-Q2,Pensioner and beneficiary households,PBLCI,All groups,69.23,primary,"https://data.api.abs.gov.au/rest/data/ABS,LCI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T14:19:41.340Z
2012-Q3,Employee households,P1,All groups,71.58,primary,"https://data.api.abs.gov.au/rest/data/ABS,LCI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T14:19:41.340Z
2012-Q3,Age pensioner households,P2,All groups,71.15,primary,"https://data.api.abs.gov.au/rest/data/ABS,LCI,1.0.0/all?startPeriod=2012&format=csv",2026-08-25T14:19:41.340Z
