origin_country,origin_agency,destination_country,persons,period_start,period_end,instrument,instrument_measures,covers_australia,source_tier,source_url,source_retrieved_at
Bangladesh,"Bureau of Manpower, Employment and Training (Overseas Employment Platform)",Saudi Arabia,1962884,2023-06-04,2026-08-26,Overseas employment clearance,"Workers cleared to depart under a vetted foreign employment contract. Excludes students, skilled independent migrants, family migration and anyone travelling without a cleared labour contract.",yes,primary,https://www.oep.gov.bd/reports/country-clearance?draw=1&start=0&length=300&approval_date_from=2023-06-04&approval_date_to=2026-08-26&all_skills=0,2026-08-26T10:57:49.480Z
Bangladesh,"Bureau of Manpower, Employment and Training (Overseas Employment Platform)",Malaysia,311589,2023-06-04,2026-08-26,Overseas employment clearance,"Workers cleared to depart under a vetted foreign employment contract. Excludes students, skilled independent migrants, family migration and anyone travelling without a cleared labour contract.",yes,primary,https://www.oep.gov.bd/reports/country-clearance?draw=1&start=0&length=300&approval_date_from=2023-06-04&approval_date_to=2026-08-26&all_skills=0,2026-08-26T10:57:49.480Z
Bangladesh,"Bureau of Manpower, Employment and Training (Overseas Employment Platform)",Qatar,269700,2023-06-04,2026-08-26,Overseas employment clearance,"Workers cleared to depart under a vetted foreign employment contract. Excludes students, skilled independent migrants, family migration and anyone travelling without a cleared labour contract.",yes,primary,https://www.oep.gov.bd/reports/country-clearance?draw=1&start=0&length=300&approval_date_from=2023-06-04&approval_date_to=2026-08-26&all_skills=0,2026-08-26T10:57:49.480Z
Bangladesh,"Bureau of Manpower, Employment and Training (Overseas Employment Platform)",Singapore,208688,2023-06-04,2026-08-26,Overseas employment clearance,"Workers cleared to depart under a vetted foreign employment contract. Excludes students, skilled independent migrants, family migration and anyone travelling without a cleared labour contract.",yes,primary,https://www.oep.gov.bd/reports/country-clearance?draw=1&start=0&length=300&approval_date_from=2023-06-04&approval_date_to=2026-08-26&all_skills=0,2026-08-26T10:57:49.480Z
Bangladesh,"Bureau of Manpower, Employment and Training (Overseas Employment Platform)",United Arab Emirates (UAE),138976,2023-06-04,2026-08-26,Overseas employment clearance,"Workers cleared to depart under a vetted foreign employment contract. Excludes students, skilled independent migrants, family migration and anyone travelling without a cleared labour contract.",yes,primary,https://www.oep.gov.bd/reports/country-clearance?draw=1&start=0&length=300&approval_date_from=2023-06-04&approval_date_to=2026-08-26&all_skills=0,2026-08-26T10:57:49.480Z
Bangladesh,"Bureau of Manpower, Employment and Training (Overseas Employment Platform)",Kuwait,118060,2023-06-04,2026-08-26,Overseas employment clearance,"Workers cleared to depart under a vetted foreign employment contract. Excludes students, skilled independent migrants, family migration and anyone travelling without a cleared labour contract.",yes,primary,https://www.oep.gov.bd/reports/country-clearance?draw=1&start=0&length=300&approval_date_from=2023-06-04&approval_date_to=2026-08-26&all_skills=0,2026-08-26T10:57:49.480Z
Bangladesh,"Bureau of Manpower, Employment and Training (Overseas Employment Platform)",Maldives,68120,2023-06-04,2026-08-26,Overseas employment clearance,"Workers cleared to depart under a vetted foreign employment contract. Excludes students, skilled independent migrants, family migration and anyone travelling without a cleared labour contract.",yes,primary,https://www.oep.gov.bd/reports/country-clearance?draw=1&start=0&length=300&approval_date_from=2023-06-04&approval_date_to=2026-08-26&all_skills=0,2026-08-26T10:57:49.480Z
Bangladesh,"Bureau of Manpower, Employment and Training (Overseas Employment Platform)",Oman,60288,2023-06-04,2026-08-26,Overseas employment clearance,"Workers cleared to depart under a vetted foreign employment contract. Excludes students, skilled independent migrants, family migration and anyone travelling without a cleared labour contract.",yes,primary,https://www.oep.gov.bd/reports/country-clearance?draw=1&start=0&length=300&approval_date_from=2023-06-04&approval_date_to=2026-08-26&all_skills=0,2026-08-26T10:57:49.480Z
Bangladesh,"Bureau of Manpower, Employment and Training (Overseas Employment Platform)",Jordan,45527,2023-06-04,2026-08-26,Overseas employment clearance,"Workers cleared to depart under a vetted foreign employment contract. Excludes students, skilled independent migrants, family migration and anyone travelling without a cleared labour contract.",yes,primary,https://www.oep.gov.bd/reports/country-clearance?draw=1&start=0&length=300&approval_date_from=2023-06-04&approval_date_to=2026-08-26&all_skills=0,2026-08-26T10:57:49.480Z
Bangladesh,"Bureau of Manpower, Employment and Training (Overseas Employment Platform)",Italy,30658,2023-06-04,2026-08-26,Overseas employment clearance,"Workers cleared to depart under a vetted foreign employment contract. Excludes students, skilled independent migrants, family migration and anyone travelling without a cleared labour contract.",yes,primary,https://www.oep.gov.bd/reports/country-clearance?draw=1&start=0&length=300&approval_date_from=2023-06-04&approval_date_to=2026-08-26&all_skills=0,2026-08-26T10:57:49.480Z
Bangladesh,"Bureau of Manpower, Employment and Training (Overseas Employment Platform)",Kyrgyzstan,21041,2023-06-04,2026-08-26,Overseas employment clearance,"Workers cleared to depart under a vetted foreign employment contract. Excludes students, skilled independent migrants, family migration and anyone travelling without a cleared labour contract.",yes,primary,https://www.oep.gov.bd/reports/country-clearance?draw=1&start=0&length=300&approval_date_from=2023-06-04&approval_date_to=2026-08-26&all_skills=0,2026-08-26T10:57:49.480Z
Bangladesh,"Bureau of Manpower, Employment and Training (Overseas Employment Platform)",Cambodia,17409,2023-06-04,2026-08-26,Overseas employment clearance,"Workers cleared to depart under a vetted foreign employment contract. Excludes students, skilled independent migrants, family migration and anyone travelling without a cleared labour contract.",yes,primary,https://www.oep.gov.bd/reports/country-clearance?draw=1&start=0&length=300&approval_date_from=2023-06-04&approval_date_to=2026-08-26&all_skills=0,2026-08-26T10:57:49.480Z
